                                          POR        JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANN
13876BIRMINGHAM,AL                   193001-201812    15    11     5     1     0     0     0     0     0     *     6    13    50
03856HUNTSVILLE,AL                   195809-201812    18    13     7     1     0     0     0     0     0     1     7    15    62
13894MOBILE,AL                       194801-201812     8     5     1     *     0     0     0     0     0     *     2     6    21
13895MONTGOMERY,AL                   194801-201812    13     8     2     *     0     0     0     0     0     *     5    10    38
26451ANCHORAGE,AK                    195204-201812    30    27    29    21     3     0     0     *     3    19    28    30   192
25308ANNETTE,AK                      194102-201809    16    14    13     4     *     0     0     0     *     1     9    15    72
27502BARROW,AK                       190109-201812    31    28    31    30    31    23    13    14    24    31    30    31   315
26615BETHEL,AK                       192308-201812    30    28    31    28    16     1     *     *     6    25    29    30   222
26533BETTLES,AK                      195105-201812    31    28    31    29    13     *     *     2    15    30    30    31   240
26415BIG DELTA,AK                    191905-201812    31    28    30    26     8     *     *     1    10    27    30    31   221
25624COLD BAY,AK                     195003-201812    24    22    25    20     8     *     0     *     1     9    18    23   152
26411FAIRBANKS,AK                    192912-201812    31    28    31    27     7     *     0     1    10    29    30    31   226
26425GULKANA,AK                      190705-201812    31    28    31    28    15     1     *     3    14    27    30    31   239
25507HOMER,AK                        193209-201812    27    25    27    21     8     *     0     *     4    17    25    27   182
25309JUNEAU,AK                       193611-201812    24    22    23    14     3     *     0     *     1     8    18    23   136
25503KING SALMON,AK                  194202-201811    28    25    28    25    11     1     *     *     6    21    26    28   198
25501KODIAK,AK                       194901-201812    22    20    22    14     3     *     0     0     1    11    19    22   133
26616KOTZEBUE,AK                     189710-201812    31    28    31    29    25     6     *     *     7    27    30    31   244
26510MCGRATH,AK                      194106-201812    31    28    31    28    10     *     *     1    10    27    30    31   227
26617NOME,AK                         190009-201812    31    28    31    29    20     4     *     1    10    25    29    31   239
25713ST. PAUL ISLAND,AK              194901-201812    26    26    29    26    17     3     *     *     2    12    19    24   185
26528TALKEETNA,AK                    191807-201812    31    28    30    27    13     1     *     1     8    24    29    30   222
26442VALDEZ,AK                       191705-201402    30    27    30    21     6     *     0     *     3    15    28    30   191
25339YAKUTAT,AK                      191704-201812    25    23    25    19     7     *     0     *     3    10    20    24   158
03103FLAGSTAFF,AZ                    189311-201812    30    27    29    23    12     2     *     *     2    18    28    30   203
23183PHOENIX,AZ                      193306-201812     3     2     *     0     0     0     0     0     0     0     1     2     8
23160TUCSON,AZ                       194606-201812     5     3     1     0     0     0     0     0     0     *     1     5    16
23194WINSLOW,AZ                      189810-201812    28    23    19     8     1     *     0     0     *     6    22    28   136
13964FORT SMITH,AR                   194510-201812    22    15     7     1     0     0     0     0     0     1     8    18    71
13963LITTLE ROCK,AR                  193804-201812    18    12     4     *     0     0     0     0     0     *     5    14    54
23155BAKERSFIELD,CA                  193710-201812     5     1     *     0     0     0     0     0     0     *     1     5    13
23157BISHOP,CA                       189502-201812    29    24    19     8     2     *     0     0     *     8    24    29   143
23225BLUE CANYON,CA                  194312-201812    16    16    16    11     4     *     0     0     *     2     9    15    90
93193FRESNO,CA                       194801-201812     7     3     1     *     0     0     0     0     0     *     2     7    20
23129LONG BEACH,CA                   194901-201812     *     0     0     0     0     0     0     0     0     0     0     *     1
93134LOS ANGELES,CA                  190604-201812     *     *     0     0     0     0     0     0     0     0     0     *     0
